"scen","rEVPI","delta_t_crit_K_min","delta_t_crit_K_max","delta_t_crit_r_min","delta_t_crit_r_max","k"
"SSP5_8_5",0.0141299893154965,1.15,1.45,1,1.9,2
"SSP1_1_9",0.000144894114720138,2.35,2.35,1.15,1.3,2
"SSP1_2_6",0.000156478815972271,2.35,2.35,1.15,1.3,2
"SSP2_4_5",0.000798016985829241,2.35,2.35,1.15,1.3,2
"SSP3_7_0",0.000734468708272666,2.35,2.35,1.15,1.3,2
"SSP5_8_5",0.000724375866011399,2.35,2.35,1.15,1.3,2
"SSP1_1_9",0.00679877811434073,1.6,1.9,1.3,2.5,2
"SSP1_2_6",0.00621762175854116,1.6,1.9,1.3,2.5,2
"SSP2_4_5",0.0237939895925339,1.6,1.9,1.3,2.5,2
"SSP3_7_0",0.0323727203023185,1.6,1.9,1.3,2.5,2
"SSP5_8_5",0.0317876306917586,1.6,1.9,1.3,2.5,2
"SSP1_1_9",0.02030045456084,1.3,2.2,1.9,2.35,2
"SSP1_2_6",0.0145985830253621,1.3,2.2,1.9,2.35,2
"SSP2_4_5",0.0498721556641984,1.3,2.2,1.9,2.35,2
"SSP3_7_0",0.0465121737602312,1.3,2.2,1.9,2.35,2
"SSP5_8_5",0.0453475443114635,1.3,2.2,1.9,2.35,2
"SSP1_1_9",0.0123465735029572,2.05,2.2,1.15,2.5,2
"SSP1_2_6",0.00630142218220894,2.05,2.2,1.15,2.5,2
"SSP2_4_5",0.0255636215071552,2.05,2.2,1.15,2.5,2
"SSP3_7_0",0.0435268504496307,2.05,2.2,1.15,2.5,2
"SSP5_8_5",0.0436411041036385,2.05,2.2,1.15,2.5,2
"SSP1_1_9",5.34094834840351e-07,1,1.15,1,2.2,2
"SSP1_2_6",0.00319774247710559,1,1.15,1,2.2,2
"SSP2_4_5",0.00541330972679122,1,1.15,1,2.2,2
"SSP3_7_0",0.00458127371946029,1,1.15,1,2.2,2
"SSP5_8_5",0.00417807121037993,1,1.15,1,2.2,2
"SSP1_1_9",0.000254815516216754,1.75,1.75,1.45,1.6,2
"SSP1_2_6",0.000326735135708846,1.75,1.75,1.45,1.6,2
"SSP2_4_5",0.00129659567448928,1.75,1.75,1.45,1.6,2
"SSP3_7_0",0.00200216509142912,1.75,1.75,1.45,1.6,2
"SSP5_8_5",0.00204685229208614,1.75,1.75,1.45,1.6,2
"SSP1_1_9",0.01760114634362,1,2.05,1.9,1.9,2
"SSP1_2_6",0.029557961438889,1,2.05,1.9,1.9,2
"SSP2_4_5",0.0619902914639377,1,2.05,1.9,1.9,2
"SSP3_7_0",0.0521681633066111,1,2.05,1.9,1.9,2
"SSP5_8_5",0.0504436148195281,1,2.05,1.9,1.9,2
"SSP1_1_9",0.000747639350423124,1,1.3,1.75,1.75,2
"SSP1_2_6",0.0160134865312217,1,1.3,1.75,1.75,2
"SSP2_4_5",0.00991714266824385,1,1.3,1.75,1.75,2
"SSP3_7_0",0.0100324567961339,1,1.3,1.75,1.75,2
"SSP5_8_5",0.00899203687377606,1,1.3,1.75,1.75,2
"SSP1_1_9",0.00588685053078245,1,1.45,1.15,1.45,2
"SSP1_2_6",0.0109848067128238,1,1.45,1.15,1.45,2
"SSP2_4_5",0.0321265400316636,1,1.45,1.15,1.45,2
