"Year","X5.","Mean","X95.","scenario"
2031,1.29246858470741,1.506218010742,1.75336046862282,"SSP2_4_5"
2032,1.30862329410119,1.52944601410171,1.78580775560001,"SSP2_4_5"
2033,1.32496165778355,1.55143229097889,1.8193149823231,"SSP2_4_5"
2034,1.34253044808962,1.57280012306276,1.8520667178138,"SSP2_4_5"
2035,1.35906994453849,1.59411239323347,1.88388644137379,"SSP2_4_5"
2036,1.37579872183388,1.61712930205272,1.91577485160566,"SSP2_4_5"
2037,1.39280257433538,1.64093209330759,1.94766386012523,"SSP2_4_5"
2038,1.41151204353851,1.66519443644973,1.98172592717189,"SSP2_4_5"
2039,1.43045786352715,1.68914525491577,2.01568291116201,"SSP2_4_5"
2040,1.44797730193759,1.71233475946877,2.0488968246332,"SSP2_4_5"
2041,1.46477951057054,1.7369289858917,2.08322970302105,"SSP2_4_5"
2042,1.4829581721057,1.76167521548585,2.11754980971189,"SSP2_4_5"
2043,1.50128549454696,1.78670484576813,2.15169510897384,"SSP2_4_5"
2044,1.51878709471924,1.80909093248414,2.18617335311151,"SSP2_4_5"
2045,1.53567129756109,1.83074844537589,2.22629912366889,"SSP2_4_5"
2046,1.55135397001986,1.85450937492105,2.25870435325424,"SSP2_4_5"
2047,1.56696853133884,1.879956885551,2.29316933098651,"SSP2_4_5"
2048,1.58318950194083,1.90173863285526,2.32804980445251,"SSP2_4_5"
2049,1.59792026837652,1.9223701832365,2.35929924544334,"SSP2_4_5"
2050,1.61380154632258,1.94577395296003,2.40027499080404,"SSP2_4_5"
2051,1.63025055677042,1.9732951371812,2.42338820304878,"SSP2_4_5"
2052,1.64730176747867,1.99448948062872,2.46192145730367,"SSP2_4_5"
2053,1.66125823227345,2.01703930724073,2.49422380643913,"SSP2_4_5"
2054,1.6759181179409,2.03864048536785,2.52452475593942,"SSP2_4_5"
2055,1.69057716476164,2.06118721889043,2.54567112778789,"SSP2_4_5"
2056,1.70361984904006,2.08390441525191,2.5769435137803,"SSP2_4_5"
2057,1.71717783494499,2.10435781802634,2.60607776039986,"SSP2_4_5"
2058,1.73096208999099,2.12483549884385,2.63379461210578,"SSP2_4_5"
2059,1.74345839335314,2.14550684996103,2.66206318347114,"SSP2_4_5"
2060,1.75828529862347,2.16512168298361,2.69982559511548,"SSP2_4_5"
2061,1.7730465209119,2.18622947074591,2.72822483690722,"SSP2_4_5"
2062,1.78550983134753,2.20537703919723,2.76517890837075,"SSP2_4_5"
2063,1.79937550013,2.22537885934976,2.79299965578134,"SSP2_4_5"
2064,1.81420907873478,2.24527411652296,2.81937559576923,"SSP2_4_5"
2065,1.82792440103737,2.26340708972682,2.84662996927196,"SSP2_4_5"
2066,1.84075696365878,2.28125640985988,2.87176849745837,"SSP2_4_5"
2067,1.85412341837364,2.29836614861881,2.89757810199644,"SSP2_4_5"
2068,1.8674294640655,2.3162377943662,2.92136172779096,"SSP2_4_5"
2069,1.87968102864353,2.33386064696164,2.94510975696836,"SSP2_4_5"
2070,1.89076174123668,2.34967723198065,2.96836692274227,"SSP2_4_5"
2071,1.90159885664764,2.36576414664724,3.00034685121202,"SSP2_4_5"
2072,1.9140472307262,2.38565258152384,3.02482190679285,"SSP2_4_5"
2073,1.92626569296314,2.40087244091491,3.0476963857747,"SSP2_4_5"
2074,1.93703096759974,2.42085602546445,3.07203679930565,"SSP2_4_5"
2075,1.94788662970043,2.43698662779398,3.09541860661499,"SSP2_4_5"
2076,1.95922177958504,2.44928256991671,3.11847145881504,"SSP2_4_5"
2077,1.9708282153056,2.46922702498656,3.14211696281769,"SSP2_4_5"
2078,1.98123854065462,2.48495660077362,3.16551196359796,"SSP2_4_5"
2079,1.99077658561169,2.49868892218696,3.18674536948297,"SSP2_4_5"
2080,1.99945372785684,2.51298640591587,3.20751477284657,"SSP2_4_5"
2081,2.00804173057937,2.52722887407158,3.22875590177237,"SSP2_4_5"
2082,2.01782431707849,2.54241097782221,3.2506917046551,"SSP2_4_5"
2083,2.02590916183823,2.55704964211911,3.27218614652879,"SSP2_4_5"
2084,2.03398547870241,2.57172818208724,3.29289225812145,"SSP2_4_5"
2085,2.04417113355796,2.58620336683565,3.31270451495417,"SSP2_4_5"
2086,2.05435275616519,2.60052419105503,3.33421654681649,"SSP2_4_5"
2087,2.0627976879693,2.61444253695513,3.35594550565074,"SSP2_4_5"
2088,2.07056644272485,2.6274137690637,3.37620941224988,"SSP2_4_5"
2089,2.07815520510925,2.63888688305394,3.39652516448189,"SSP2_4_5"
2090,2.08534574948589,2.65009197025783,3.41572734674045,"SSP2_4_5"
2091,2.09393502029583,2.66482726741906,3.43502016994607,"SSP2_4_5"
2092,2.10078843122503,2.67531545699763,3.45362584579886,"SSP2_4_5"
2093,2.10739609731124,2.68694980561042,3.47190004823182,"SSP2_4_5"
2094,2.11452816985675,2.69834570693205,3.48783778047523,"SSP2_4_5"
2095,2.12117447638434,2.70981021154911,3.50437138056907,"SSP2_4_5"
2096,2.12658144967094,2.72136658888412,3.52052190340543,"SSP2_4_5"
2097,2.13202320261678,2.73028053664237,3.53606559055511,"SSP2_4_5"
2098,2.1382357725815,2.7398339446399,3.5509912769322,"SSP2_4_5"
2099,2.1441443734836,2.74813370534139,3.56574071686952,"SSP2_4_5"
2015,1.00481977079551,1.09435537170704,1.19135690932766,"SSP3_7_0"
2016,1.02022594886254,1.11792898417894,1.22391053751273,"SSP3_7_0"
2017,1.03791925727692,1.14345095429993,1.25796174188763,"SSP3_7_0"
2018,1.0556307602186,1.16983147676732,1.29376553409318,"SSP3_7_0"
2019,1.07271851126748,1.19481568925976,1.33308090882538,"SSP3_7_0"
2020,1.09103693073806,1.2201709465256,1.3707551505,"SSP3_7_0"
2021,1.10903394042536,1.24663715945885,1.40684145618701,"SSP3_7_0"
2022,1.1259327639161,1.27272297461404,1.44260403728284,"SSP3_7_0"
2023,1.14326248437859,1.29862883471056,1.47331066879508,"SSP3_7_0"
2024,1.16083626568066,1.32394076174351,1.51401739433267,"SSP3_7_0"
2025,1.17865779046937,1.34919587571413,1.54954699053008,"SSP3_7_0"
2026,1.19703498886412,1.37572108583669,1.58563205946559,"SSP3_7_0"
2027,1.21571284844761,1.40325434997657,1.62211737649294,"SSP3_7_0"
2028,1.23579230814598,1.43213483860927,1.6550380449204,"SSP3_7_0"
2029,1.25514649618701,1.46023451515005,1.69243256164825,"SSP3_7_0"
2030,1.27527883314509,1.48825929221573,1.73026769390751,"SSP3_7_0"
2031,1.29574459920541,1.51741063935421,1.76897761567048,"SSP3_7_0"
2032,1.31698020795759,1.5462760252856,1.80768735364129,"SSP3_7_0"
2033,1.33694703988853,1.57446023962321,1.84741563813696,"SSP3_7_0"
2034,1.3594662297632,1.60199058183987,1.88614652203876,"SSP3_7_0"
2035,1.38166120402377,1.62981876229744,1.92407030158884,"SSP3_7_0"
2036,1.40397816874654,1.65960094511651,1.96706866897393,"SSP3_7_0"
2037,1.42639927875309,1.69052740944763,2.00620702694043,"SSP3_7_0"
2038,1.44673079762392,1.72035992759727,2.04663326043121,"SSP3_7_0"
2039,1.47000673024798,1.74949416013746,2.08658246844134,"SSP3_7_0"
