"scen","rEVPI","delta_t_crit_K_min","delta_t_crit_K_max","k"
"SSP1_1_9",0.00921991643240722,1,1.9,3
"SSP1_2_6",0.0197046345679306,1,1.9,3
"SSP2_4_5",0.03725954782468,1,1.9,3
"SSP3_7_0",0.0359535849845653,1,1.9,3
"SSP5_8_5",0.0351725371545173,1,1.9,3
"SSP1_1_9",0.0166201526317784,1,2.05,3
"SSP1_2_6",0.0222035069638705,1,2.05,3
"SSP2_4_5",0.0449528299638527,1,2.05,3
"SSP3_7_0",0.0426674155921781,1,2.05,3
"SSP5_8_5",0.0431843511092865,1,2.05,3
"SSP1_1_9",0.0211593014434741,1,2.2,3
"SSP1_2_6",0.0254653839645363,1,2.2,3
"SSP2_4_5",0.0526057932677322,1,2.2,3
"SSP3_7_0",0.0490745991395694,1,2.2,3
"SSP5_8_5",0.0517918954679958,1,2.2,3
"SSP1_1_9",0.0231841325798191,1,2.35,3
"SSP1_2_6",0.0317025990693077,1,2.35,3
"SSP2_4_5",0.0573192847279632,1,2.35,3
"SSP3_7_0",0.0546750312665484,1,2.35,3
"SSP5_8_5",0.0610046171529094,1,2.35,3
"SSP1_1_9",0.0241262749742425,1,2.5,3
"SSP1_2_6",0.0352088273712843,1,2.5,3
"SSP2_4_5",0.060234816088516,1,2.5,3
"SSP3_7_0",0.0595578692883596,1,2.5,3
"SSP5_8_5",0.0700697579630771,1,2.5,3
"SSP1_1_9",0.00582630920013515,1,1.75,3
"SSP1_2_6",0.018184125728839,1,1.75,3
"SSP2_4_5",0.0350529286810663,1,1.75,3
"SSP3_7_0",0.0337451331780334,1,1.75,3
"SSP5_8_5",0.0325101437278071,1,1.75,3
"SSP1_1_9",0.00984628623158806,1,1.9,3
"SSP1_2_6",0.0202606412290674,1,1.9,3
"SSP2_4_5",0.0420842882153318,1,1.9,3
"SSP3_7_0",0.040414105303582,1,1.9,3
"SSP5_8_5",0.0395480121240047,1,1.9,3
"SSP1_1_9",0.0172324787534152,1,2.05,3
"SSP1_2_6",0.0227511652321003,1,2.05,3
"SSP2_4_5",0.0496895899682147,1,2.05,3
"SSP3_7_0",0.0469854962132435,1,2.05,3
"SSP5_8_5",0.0473946999882501,1,2.05,3
"SSP1_1_9",0.0217630622351034,1,2.2,3
"SSP1_2_6",0.0260022535984954,1,2.2,3
"SSP2_4_5",0.0572560799155656,1,2.2,3
"SSP3_7_0",0.0532648894047128,1,2.2,3
"SSP5_8_5",0.0558361315420986,1,2.2,3
"SSP1_1_9",0.0237840842077956,1,2.35,3
"SSP1_2_6",0.0322190503198689,1,2.35,3
"SSP2_4_5",0.0619166881062687,1,2.35,3
"SSP3_7_0",0.058758243199581,1,2.35,3
"SSP5_8_5",0.064880099436021,1,2.35,3
"SSP1_1_9",0.0247244619617759,1,2.5,3
"SSP1_2_6",0.0357138835527157,1,2.5,3
"SSP2_4_5",0.0647996248129944,1,2.5,3
"SSP3_7_0",0.0635510203953531,1,2.5,3
"SSP5_8_5",0.0737852656541019,1,2.5,3
"SSP1_1_9",0.0117869983443155,1,1.9,3
"SSP1_2_6",0.0219271251752382,1,1.9,3
"SSP2_4_5",0.0485059797030847,1,1.9,3
"SSP3_7_0",0.0464078100069661,1,1.9,3
"SSP5_8_5",0.0454876697610978,1,1.9,3
"SSP1_1_9",0.0191430650002748,1,2.05,3
"SSP1_2_6",0.0244064669336308,1,2.05,3
"SSP2_4_5",0.056004637273704,1,2.05,3
"SSP3_7_0",0.0528208486179239,1,2.05,3
"SSP5_8_5",0.0531494208181667,1,2.05,3
"SSP1_1_9",0.0236552200599663,1,2.2,3
"SSP1_2_6",0.027643176012069,1,2.2,3
"SSP2_4_5",0.0634662505199563,1,2.2,3
"SSP3_7_0",0.0589591925374171,1,2.2,3
"SSP5_8_5",0.0614061472297264,1,2.2,3
"SSP1_1_9",0.0256680326328219,1,2.35,3
"SSP1_2_6",0.0338327735755889,1,2.35,3
"SSP2_4_5",0.0680626765896318,1,2.35,3
"SSP3_7_0",0.0643349057492946,1,2.35,3
"SSP5_8_5",0.0702634720219772,1,2.35,3
"SSP1_1_9",0.0266046094947825,1,2.5,3
"SSP1_2_6",0.0373123693013864,1,2.5,3
"SSP2_4_5",0.0709060346988239,1,2.5,3
"SSP3_7_0",0.0690291746835594,1,2.5,3
"SSP5_8_5",0.0789921895364653,1,2.5,3
"SSP1_1_9",0.0230543698131463,1,2.05,3
"SSP1_2_6",0.0264504840839174,1,2.05,3
"SSP2_4_5",0.0627225428067728,1,2.05,3
"SSP3_7_0",0.058999053797196,1,2.05,3
"SSP5_8_5",0.0596378020827984,1,2.05,3
"SSP1_1_9",0.027530187210916,1,2.2,3
"SSP1_2_6",0.029671998231141,1,2.2,3
"SSP2_4_5",0.0700763637085031,1,2.2,3
"SSP3_7_0",0.0650027435626687,1,2.2,3
"SSP5_8_5",0.0677099425946418,1,2.2,3
"SSP1_1_9",0.029526808784724,1,2.35,3
"SSP1_2_6",0.0358328574453973,1,2.35,3
"SSP2_4_5",0.0746068021479111,1,2.35,3
"SSP3_7_0",0.0702663955440455,1,2.35,3
"SSP5_8_5",0.0763813172907997,1,2.35,3
"SSP1_1_9",0.0304558896531672,1,2.5,3
"SSP1_2_6",0.0392963347816995,1,2.5,3
"SSP2_4_5",0.0774094593632403,1,2.5,3
"SSP3_7_0",0.0748670282237359,1,2.5,3
"SSP5_8_5",0.0849345059626698,1,2.5,3
"SSP1_1_9",0.0346530266791891,1,2.2,3
"SSP1_2_6",0.0321097383251168,1,2.2,3
"SSP2_4_5",0.0772348319276045,1,2.2,3
"SSP3_7_0",0.0710037597212146,1,2.2,3
"SSP5_8_5",0.0748126718716527,1,2.2,3
"SSP1_1_9",0.0366202366808442,1,2.35,3
"SSP1_2_6",0.0382389598364962,1,2.35,3
"SSP2_4_5",0.0816952349596601,1,2.35,3
"SSP3_7_0",0.076165904781121,1,2.35,3
"SSP5_8_5",0.0832974425418038,1,2.35,3
"SSP1_1_9",0.0375357003275432,1,2.5,3
"SSP1_2_6",0.0416846797887227,1,2.5,3
"SSP2_4_5",0.0844546882791847,1,2.5,3
"SSP3_7_0",0.0806818885731209,1,2.5,3
"SSP5_8_5",0.0914224933171718,1,2.5,3
"SSP1_1_9",0.0409716500616879,1,2.35,3
"SSP1_2_6",0.041381697012729,1,2.35,3
"SSP2_4_5",0.0887531601294875,1,2.35,3
"SSP3_7_0",0.0818503152959082,1,2.35,3
"SSP5_8_5",0.090088355335223,1,2.35,3
"SSP1_1_9",0.0418787784302894,1,2.5,3
"SSP1_2_6",0.0448046325726096,1,2.5,3
"SSP2_4_5",0.0914700792300348,1,2.5,3
"SSP3_7_0",0.086209267498862,1,2.5,3
"SSP5_8_5",0.0970500543191469,1,2.5,3
"SSP1_1_9",0.0438162495298476,1,2.5,3
"SSP1_2_6",0.0507733967487572,1,2.5,3
"SSP2_4_5",0.0957932591341922,1,2.5,3
"SSP3_7_0",0.0898941983477035,1,2.5,3
